hour,Message_Count
0,166743
1,143406
2,136230
3,131031
4,109545
5,106584
6,109997
7,123590
8,145185
9,161907
10,173624
11,190951
12,227540
13,263691
14,265358
15,255605
16,260930
17,279821
18,287792
19,335227
20,337385
21,315234
22,264230
23,208394
